SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
55,MSS_CORTEXM3.AXI_IF_0.WVALID,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
56,MSS_CORTEXM3.AXI_IF_0.WLAST,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
57,MSS_CORTEXM3.AXI_IF_0.AXI_RC_BUSY,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
58,MSS_CORTEXM3.AXI_IF_0.RREADY,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
59,MSS_CORTEXM3.AXI_IF_0.AXI_WC_BUSY,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
60,MSS_CORTEXM3.AXI_IF_0.BREADY,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
61,MSS_CORTEXM3.AXI_IF_0.r_tr_length[3:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
62,MSS_CORTEXM3.AXI_IF_0.axi_fsm_read_state[3:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
63,MSS_CORTEXM3.AXI_IF_0.w_tr_length[3:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
64,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_8_11|un1_paddr_1_inferred_clock,UART_IF_0.DATA_HANDLE_FSM_V2_0.uart_user_option[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
