SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
37,REDUNDANCIA.TPSRAM_C1_0.TPSRAM_C1_0.TPSRAM_C1_TPSRAM_C1_0_TPSRAM_R0C3,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
38,REDUNDANCIA.TPSRAM_C1_0.TPSRAM_C1_0.TPSRAM_C1_TPSRAM_C1_0_TPSRAM_R0C1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
39,REDUNDANCIA.TPSRAM_C1_0.TPSRAM_C1_0.TPSRAM_C1_TPSRAM_C1_0_TPSRAM_R0C2,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
40,MANEJO_SOLICITUDES.UART_IF_FSM_0.sg_option[7:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_start_axi,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
41,MANEJO_SOLICITUDES.UART_IF_FSM_0.sg_option[7:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_32_9|un1_paddr_1_inferred_clock,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_option[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
42,MANEJO_SOLICITUDES.UART_IF_FSM_0.sg_DATA_IN[63:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_start_axi,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
43,MANEJO_SOLICITUDES.UART_IF_FSM_0.sg_DATA_IN[63:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_32_9|un1_fsm_2_inferred_clock,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_data2[31:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
44,MANEJO_SOLICITUDES.UART_IF_FSM_0.sg_DATA_IN[63:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_32_9|un1_paddr_3_inferred_clock,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_data1[31:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
45,MANEJO_SOLICITUDES.UART_IF_FSM_0.limit_cnt[0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
46,MANEJO_SOLICITUDES.UART_IF_FSM_0.limit_cnt[4],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
47,MANEJO_SOLICITUDES.UART_IF_FSM_0.TPSRAM_WADDR[7:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
48,MANEJO_SOLICITUDES.UART_IF_FSM_0.fsm[0:13],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
49,MANEJO_SOLICITUDES.UART_IF_FSM_0.sg_ADDR[31:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_address[31:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
50,MANEJO_SOLICITUDES.UART_IF_FSM_0.sg_ADDR[31:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_32_9|un1_paddr_2_inferred_clock,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_address[31:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
51,MANEJO_SOLICITUDES.UART_IF_FSM_0.sg_PAGE[31:8],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_start_axi,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
52,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_option[7:0],DATA_HANDLE_FSM_V2_32_32_32_9|un1_paddr_1_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
53,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_address[31:0],DATA_HANDLE_FSM_V2_32_32_32_9|un1_paddr_2_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
54,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_data1[31:0],DATA_HANDLE_FSM_V2_32_32_32_9|un1_paddr_3_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
55,MANEJO_SOLICITUDES.DATA_HANDLE_FSM_V2_0.uart_user_data2[31:0],DATA_HANDLE_FSM_V2_32_32_32_9|un1_fsm_2_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
